台番,機種名,BB,RB,BB確率,合成確率,総スタート,最終スタート,最大放出
281,パチスロ サラリーマン金太郎～MAX～,2,3,1/581,1/232,"1,162",30,"1,009"
282,闘魂継承 アントニオ猪木という名のパチスロ機,0,4,-,1/220,880,29,793
283,マジカルハロウィン7,2,2,1/505,1/253,"1,010",252,666
285,S 喰霊,5,5,1/274,1/137,"1,371",61,"1,037"
286,ハナビ通(HH),2,2,1/552,1/276,"1,103",287,870
287,パチスロ 不二子 TYPE A+,20,10,1/273,1/182,"5,466",494,"2,364"
288,SLOTファミリースタジアム,0,0,-,-,505,505,717
300,回胴黙示録カイジ４,2,3,1/323,1/129,645,256,570
301,パチスロ 戦国乙女 TYPE A+,4,5,1/608,1/270,"2,430",132,"1,713"
302,パチスロあの日見た花の名前を僕達はまだ知らない。,45,4,1/68,1/63,"3,064",12,"1,236"
303,パチスロ 聖闘士星矢 海皇覚醒,60,5,1/106,1/98,"6,362",87,"4,345"
305,秘宝伝～ＴｈｅＬａｓｔ～,44,32,1/109,1/63,"4,804",1,"6,217"
306,パチスロ 笑ゥせぇるすまん3～笑撃のドーン～,64,33,1/94,1/62,"6,010",97,"1,310"
307,アナザーゴッドハーデス,13,0,1/160,1/160,"2,080",145,"2,436"
308,アナザーゴッドハーデス,14,0,1/120,1/120,"1,676",537,"4,675"
310,アナザーゴッドハーデス,5,0,1/402,1/402,"2,008",152,"2,570"
311,アナザーゴッドハーデス,17,0,1/418,1/418,"7,107",29,"6,539"
312,ミリオンゴッド,29,0,1/188,1/188,"5,452",142,"6,467"
313,ミリオンゴッド,32,0,1/92,1/92,"2,928",309,"7,211"
315,ミリオンゴッド,47,0,1/97,1/97,"4,570",38,"6,328"
316,ミリオンゴッド,34,0,1/86,1/86,"2,928",307,"5,532"
317,ミリオンゴッド,13,0,1/291,1/291,"3,787",374,"3,956"
318,パチスロ モンスターハンター 月下雷鳴,55,0,1/75,1/75,"4,103",3,"5,044"
320,押忍!サラリーマン番長,25,1,1/209,1/201,"5,217",260,"5,180"
321,プレミアムビンゴ,5,0,1/480,1/480,"2,402",8,"4,043"
322,パチスロ ゴッドイーター,56,8,1/69,1/61,"3,885",98,"3,040"
323,パチスロ FAIRY TAIL(ナツver.),0,2,-,1/289,577,63,571
325,パチスロ FAIRY TAIL(ナツver.),19,6,1/73,1/55,"1,379",465,"1,192"
326,パチスロ トータル・イクリプス2,25,5,1/41,1/34,"1,017",31,"1,796"
327,パチスロ トータル・イクリプス2,2,2,1/418,1/209,835,1,695
328,パチスロ ボンバーパワフルⅢ,4,1,1/59,1/47,236,69,370
330,パチスロ ボンバーパワフルⅢ,6,1,1/58,1/49,346,33,489
331,GⅠ優駿倶楽部2,20,0,1/133,1/133,"2,659",188,"1,611"
332,GⅠ優駿倶楽部2,25,0,1/131,1/131,"3,269",112,"1,354"
333,探偵オペラ ミルキィホームズ 1／2の奇跡,2,2,1/818,1/409,"1,636",99,"1,783"
335,探偵オペラ ミルキィホームズ 1／2の奇跡,11,6,1/75,1/48,822,12,"1,657"
336,パチスロディスクアップ,8,6,1/467,1/267,"3,734",468,"1,739"
337,パチスロディスクアップ,5,6,1/375,1/171,"1,877",275,778
338,パチスロディスクアップ,11,1,1/242,1/222,"2,660",587,"1,470"
350,パチスロディスクアップ,21,15,1/269,1/157,"5,641",882,"2,242"
351,盗忍！剛衛門,102,16,1月26日,1月23日,"2,700",2,"12,653"
352,盗忍！剛衛門,4,1,1/205,1/164,821,24,606
353,盗忍！剛衛門,4,2,1/463,1/309,"1,853",1,"2,235"
361,SLOT魔法少女まどか☆マギカ2,12,10,1/186,1/101,"2,226",39,"1,799"
362,SLOT魔法少女まどか☆マギカ2,5,2,1/220,1/157,"1,099",316,"1,005"
363,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,43,36,1/141,1/77,"6,075",1,"5,938"
365,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,3,1,1/336,1/252,"1,008",99,800
366,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,13,9,1/213,1/126,"2,766",170,"1,020"
367,SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,7,2,1/264,1/205,"1,845",1,"1,254"
368,パチスロ北斗の拳 天昇,64,0,1/91,1/91,"5,845",1,"3,354"
370,パチスロ北斗の拳 天昇,2,0,1/437,1/437,874,0,853
371,パチスロ北斗の拳 天昇,140,0,1/48,1/48,"6,778",1,"3,421"
372,パチスロ北斗の拳 天昇,48,0,1/64,1/64,"3,094",1,"1,303"
