台番,機種名,BB,RB,BB確率,合成確率,総スタート,最終スタート,最大放出
281,パチスロ サラリーマン金太郎～MAX～,4,2,1/375,1/250,"1,498",80,979
282,闘魂継承 アントニオ猪木という名のパチスロ機,18,4,1/114,1/93,"2,043",0,"1,410"
283,マジカルハロウィン7,2,1,1/395,1/263,790,72,582
285,S 喰霊,23,22,1/55,1/28,"1,267",11,"1,115"
286,ハナビ通(HH),5,2,1/296,1/211,"1,478",169,809
287,パチスロ 不二子 TYPE A+,8,8,1/429,1/214,"3,429",117,"1,524"
288,SLOTファミリースタジアム,2,3,1/719,1/287,"1,437",485,"1,089"
300,回胴黙示録カイジ４,1,0,1/388,1/388,388,87,593
301,パチスロ 戦国乙女 TYPE A+,1,0,1/695,1/695,695,26,963
302,パチスロあの日見た花の名前を僕達はまだ知らない。,0,0,-,-,32,32,45
303,パチスロ 聖闘士星矢 海皇覚醒,46,2,1/98,1/94,"4,505",2,"4,268"
305,秘宝伝～ＴｈｅＬａｓｔ～,4,4,1/426,1/213,"1,702",113,"1,347"
306,パチスロ 笑ゥせぇるすまん3～笑撃のドーン～,2,2,1/234,1/117,468,96,406
307,アナザーゴッドハーデス,17,0,1/253,1/253,"4,306",450,"4,707"
308,アナザーゴッドハーデス,14,0,1/140,1/140,"1,959",284,"4,937"
310,アナザーゴッドハーデス,36,0,1/62,1/62,"2,249",27,"12,791"
311,アナザーゴッドハーデス,20,0,1/283,1/283,"5,661",31,"4,382"
312,ミリオンゴッド,41,0,1/35,1/35,"1,448",115,"10,148"
313,ミリオンゴッド,13,0,1/131,1/131,"1,703",613,"2,729"
315,ミリオンゴッド,4,0,1/346,1/346,"1,382",109,"2,281"
316,ミリオンゴッド,30,0,1/74,1/74,"2,220",608,"5,789"
317,ミリオンゴッド,1,0,1/1566,1/1566,"1,566",598,"3,040"
318,パチスロ モンスターハンター 月下雷鳴,17,0,1/147,1/147,"2,497",331,"2,451"
320,押忍!サラリーマン番長,6,0,1/345,1/345,"2,070",114,"2,019"
321,プレミアムビンゴ,24,0,1/53,1/53,"1,274",1,"4,616"
322,パチスロ ゴッドイーター,4,1,1/462,1/370,"1,848",147,"2,552"
323,パチスロ FAIRY TAIL(ナツver.),0,3,-,1/216,648,289,405
325,パチスロ FAIRY TAIL(ナツver.),46,16,1/50,1/37,"2,318",214,"3,086"
326,パチスロ トータル・イクリプス2,0,0,-,-,147,147,182
327,パチスロ トータル・イクリプス2,0,0,-,-,190,190,222
328,パチスロ ボンバーパワフルⅢ,0,1,-,1/595,595,150,528
330,パチスロ ボンバーパワフルⅢ,0,1,-,1/458,458,323,321
331,GⅠ優駿倶楽部2,29,0,1/59,1/59,"1,706",2,"1,646"
332,GⅠ優駿倶楽部2,5,0,1/174,1/174,870,2,685
333,探偵オペラ ミルキィホームズ 1／2の奇跡,1,0,1/345,1/345,345,61,362
335,探偵オペラ ミルキィホームズ 1／2の奇跡,7,1,1/75,1/66,525,12,"1,403"
336,パチスロディスクアップ,15,3,1/179,1/150,"2,692",99,"3,195"
337,パチスロディスクアップ,7,1,1/207,1/181,"1,451",169,"1,380"
338,パチスロディスクアップ,28,10,1/167,1/123,"4,667",239,"4,871"
350,パチスロディスクアップ,5,1,1/309,1/258,"1,547",357,"1,097"
351,盗忍！剛衛門,7,4,1/254,1/162,"1,780",3,"1,777"
352,盗忍！剛衛門,3,2,1/257,1/154,772,9,485
353,盗忍！剛衛門,1,1,1/550,1/275,550,59,596
355,押忍!番長3,7,2,1/89,1/69,620,50,889
356,押忍!番長3,24,1,1/47,1/45,"1,137",9,"1,778"
357,押忍!番長3,1,0,1/270,1/270,270,52,198
358,押忍!番長3,50,14,1/27,1/21,"1,353",144,"4,902"
360,押忍!番長3,5,0,1/228,1/228,"1,141",137,823
