台番,機種名,BB,RB,BB確率,合成確率,総スタート,最終スタート,最大放出
281,パチスロ サラリーマン金太郎～MAX～,2,1,1/743,1/495,"1,486",94,779
282,闘魂継承 アントニオ猪木という名のパチスロ機,2,1,1/412,1/274,823,50,573
283,マジカルハロウィン7,1,1,1/247,1/124,247,192,173
285,S 喰霊,0,0,-,-,159,159,130
286,ハナビ通(HH),4,2,1/295,1/197,"1,181",262,705
287,パチスロ 不二子 TYPE A+,10,2,1/262,1/218,"2,616",32,"1,591"
288,SLOTファミリースタジアム,0,0,-,-,100,100,171
300,回胴黙示録カイジ４,11,14,1/206,1/91,"2,263",53,"1,325"
301,パチスロ 戦国乙女 TYPE A+,1,0,1/693,1/693,693,315,696
302,パチスロあの日見た花の名前を僕達はまだ知らない。,0,0,-,-,0,0,0
303,パチスロ 聖闘士星矢 海皇覚醒,0,0,-,-,375,375,556
305,秘宝伝～ＴｈｅＬａｓｔ～,0,0,-,-,294,294,294
306,パチスロ 笑ゥせぇるすまん3～笑撃のドーン～,0,0,-,-,174,174,157
307,アナザーゴッドハーデス,11,0,1/72,1/72,796,60,"5,223"
308,アナザーゴッドハーデス,6,0,1/81,1/81,486,421,"3,649"
310,アナザーゴッドハーデス,13,0,1/375,1/375,"4,879",25,"4,720"
311,アナザーゴッドハーデス,5,0,1/236,1/236,"1,182",473,"1,357"
312,ミリオンゴッド,10,0,1/110,1/110,"1,103",439,"2,597"
313,ミリオンゴッド,2,0,1/416,1/416,831,43,"1,419"
315,ミリオンゴッド,9,0,1/200,1/200,"1,803",165,"2,883"
316,ミリオンゴッド,10,0,1/187,1/187,"1,873",166,"2,107"
317,ミリオンゴッド,27,0,1/102,1/102,"2,744",61,"3,319"
318,パチスロ モンスターハンター 月下雷鳴,3,0,1/340,1/340,"1,020",209,"1,193"
320,押忍!サラリーマン番長,4,0,1/286,1/286,"1,145",85,"1,279"
321,プレミアムビンゴ,2,0,1/312,1/312,623,35,"1,059"
322,パチスロ ゴッドイーター,4,1,1/202,1/161,806,268,676
323,パチスロ FAIRY TAIL(ナツver.),19,4,1/51,1/42,960,1,"1,159"
325,パチスロ FAIRY TAIL(ナツver.),21,4,1/72,1/61,"1,520",1,"1,396"
326,パチスロ トータル・イクリプス2,0,1,-,1/695,695,142,638
327,パチスロ トータル・イクリプス2,0,0,-,-,175,175,163
328,パチスロ ボンバーパワフルⅢ,0,0,-,-,0,0,0
330,パチスロ ボンバーパワフルⅢ,0,0,-,-,0,0,0
331,GⅠ優駿倶楽部2,8,0,1/193,1/193,"1,547",147,694
332,GⅠ優駿倶楽部2,2,0,1/483,1/483,965,128,584
333,探偵オペラ ミルキィホームズ 1／2の奇跡,3,0,1/124,1/124,373,55,473
335,探偵オペラ ミルキィホームズ 1／2の奇跡,11,3,1/96,1/75,"1,055",159,"1,082"
336,パチスロディスクアップ,1,0,1/303,1/303,303,282,416
337,パチスロディスクアップ,8,4,1/302,1/201,"2,417",215,"1,269"
338,パチスロディスクアップ,1,1,1/684,1/342,684,261,660
