台番,機種名,BB,RB,BB確率,合成確率,総スタート,最終スタート,最大放出
1018,パチスロ 地獄少女 宵伽,0,0,-,-,0,0,0
1020,スーパービンゴNEO,23,7,1/98,1/75,"2,260","1,037",0
1021,新世紀エヴァンゲリオン～まごころを、君に～2(レイパネル),0,0,-,-,0,0,0
1022,デビル メイ クライ クロス,5,1,1/400,1/334,"2,002",42,0
1023,ぱちスロAKB48 勝利の女神,39,5,1/26,1/23,"1,001",88,0
1025,マジカルハロウィン6,0,0,-,-,0,0,0
1026,ぱちスロ テラフォーマーズ,2,10,1/676,1/113,"1,352",315,0
1027,ロックマン アビリティ 史上最大の試練,4,0,1/229,1/229,916,174,0
1028,回胴黙示録カイジ４,0,0,-,-,107,107,0
1030,マジカルハロウィン5,9,1,1/116,1/105,"1,045",76,0
1031,パチスロあの日見た花の名前を僕達はまだ知らない。,0,0,-,-,0,0,0
1032,パチスロ蒼き鋼のアルペジオ,0,0,-,-,312,312,0
1033,ぱちスロ AKB48 エンジェル,0,0,-,-,55,55,0
1035,燃えよ!功夫淑女ドラゴン,0,0,-,-,0,0,0
1036,戦国乙女～剣戟に舞う白き剣聖～西国参戦編,8,0,1/279,1/279,"2,234",53,0
1037,リノ,4,0,1/63,1/63,251,120,0
1038,パチスロ北斗の拳 修羅の国篇 羅刹ver.,0,0,-,-,0,0,0
1050,パチスロ火曜サスペンス劇場,2,0,1/223,1/223,446,220,0
1051,パチスロ ガールズ&パンツァーG～これが私の戦車道です!～,0,0,-,-,1,1,0
1052,パチスロ 聖闘士星矢 海皇覚醒,3,0,1/684,1/684,"2,053",15,0
1053,パチスロ モンキーターンⅡ,38,0,1/86,1/86,"3,284",139,0
1055,パチスロ ケロット3,10,14,1/402,1/167,"4,018",324,0
1056,パチスロBLOOD+ 二人の女王,1,0,1/1056,1/1056,"1,056",160,0
1057,パチスロ学園黙示録ハイスクール・オブ・ザ・デッド,0,0,-,-,160,160,0
1058,SLOTギャラガ,0,0,-,-,0,0,0
1060,パチスロ北斗の拳 修羅の国篇,17,10,1/162,1/102,"2,753",58,0
1061,パチスロ マッハGoGoGo,0,0,-,-,0,0,0
1062,A,11,3,1/200,1/157,"2,201",51,0
1063,パチスロ牙狼,1,0,1/232,1/232,232,113,0
1065,戦国パチスロ花の慶次 ～天を穿つ戦槍～,0,0,-,-,415,415,0
1066,パチスロ ゴッドイーター,20,7,1/72,1/53,"1,432",104,0
1067,バーサス,0,1,-,1/234,234,134,0
1068,A,1,0,1/241,1/241,241,171,0
1070,3×3EYES ～聖魔覚醒～,1,0,1/376,1/376,376,132,0
1131,ゴーゴージャグラー2,0,1,-,1/712,712,708,0
1132,ゴーゴージャグラー2,20,12,1/165,1/103,"3,305",110,0
1133,ゴーゴージャグラー2,8,6,1/311,1/178,"2,487",153,0
1135,ゴーゴージャグラー,12,7,1/209,1/132,"2,502",279,0
1136,ゴーゴージャグラー,5,7,1/407,1/170,"2,034",154,0
1137,ゴーゴージャグラー,9,10,1/213,1/101,"1,913",331,0
1138,ゴーゴージャグラー,4,3,1/243,1/139,973,478,0
1150,ゴーゴージャグラー,24,20,1/254,1/139,"6,094",130,0
1151,スーパーミラクルジャグラー,9,5,1/297,1/191,"2,675",385,0
1152,スーパーミラクルジャグラー,3,0,1/205,1/205,616,168,0
1153,スーパーミラクルジャグラー,10,9,1/387,1/204,"3,873",196,0
1155,アイムジャグラーEX－AE,0,0,-,-,0,0,0
1156,アイムジャグラーEX－AE,4,1,1/219,1/175,876,198,0
1157,アイムジャグラーEX－AE,4,3,1/389,1/222,"1,557",264,0
1158,アイムジャグラーEX－AE,2,0,1/364,1/364,728,183,0
1160,アイムジャグラーEX－AE,2,6,1/1175,1/294,"2,349",119,0
1161,アイムジャグラーEX－AE,15,12,1/275,1/153,"4,122",166,0
1162,アイムジャグラーEX－AE,2,0,1/235,1/235,469,226,0
1163,アイムジャグラーEX－AE,1,3,1/813,1/203,813,199,0
1165,アイムジャグラーEX－AE,11,2,1/254,1/215,"2,796",601,0
1166,アイムジャグラーEX－AE,2,2,1/736,1/368,"1,472",329,0
1167,アイムジャグラーEX－AE,1,1,1/552,1/276,552,237,0
1168,アイムジャグラーEX－AE,8,7,1/246,1/131,"1,971",240,0
1170,アイムジャグラーEX－AE,16,12,1/204,1/117,"3,262",102,0
1171,アイムジャグラーEX－AE,1,0,1/378,1/378,378,202,0
1172,アイムジャグラーEX－AE,5,5,1/252,1/126,"1,260",122,0
1173,アイムジャグラーEX－AE,0,1,-,1/441,441,269,0
1175,アイムジャグラーEX－AE,21,17,1/247,1/137,"5,194",184,0
1176,アイムジャグラーEX－AE,2,0,1/234,1/234,468,338,0
1177,スーパーミラクルジャグラー,4,2,1/270,1/180,"1,080",0,0
1178,スーパーミラクルジャグラー,3,1,1/381,1/286,"1,144",264,0
1180,スーパーミラクルジャグラー,9,9,1/362,1/181,"3,262",79,0
1181,ゴーゴージャグラー,3,1,1/350,1/263,"1,051",302,0
1182,ゴーゴージャグラー,4,5,1/345,1/153,"1,378",311,0
1183,ゴーゴージャグラー,11,7,1/237,1/145,"2,602",189,0
1185,ゴーゴージャグラー,6,3,1/161,1/108,968,344,0
1186,ゴーゴージャグラー,12,9,1/233,1/133,"2,795",252,0
1187,ゴーゴージャグラー2,18,20,1/285,1/135,"5,121",169,0
1188,ゴーゴージャグラー2,5,4,1/382,1/212,"1,910",425,0
1200,ゴーゴージャグラー2,9,15,1/395,1/148,"3,553",324,0
1201,パチスロディスクアップ,7,0,1/190,1/190,"1,327",173,0
1202,パチスロディスクアップ,2,0,1/138,1/138,275,122,0
1203,パチスロディスクアップ,4,3,1/196,1/112,782,406,0
1205,パチスロディスクアップ,0,1,-,1/239,239,165,0
1206,パチスロディスクアップ,7,0,1/183,1/183,"1,279",321,0
1207,パチスロディスクアップ,11,4,1/227,1/167,"2,502",71,0
1208,スーパープラネットSP,0,0,-,-,0,0,0
1210,スーパープラネットSP,2,1,1/290,1/193,579,128,0
1211,スーパープラネットSP,0,0,-,-,0,0,0
1212,パチスロコードギアス反逆のルルーシュR2 C.C.ver.,0,1,-,1/427,427,167,0
1213,パチスロコードギアス反逆のルルーシュR2 C.C.ver.,0,0,-,-,219,219,0
1215,パチスロコードギアス反逆のルルーシュR2 C.C.ver.,0,0,-,-,82,82,0
1216,パチスロコードギアス反逆のルルーシュR2 C.C.ver.,0,1,-,1/344,344,128,0
1217,パチスロ ダンジョンに出会いを求めるのは間違っているだろうか,0,0,-,-,0,0,0
1218,パチスロ ダンジョンに出会いを求めるのは間違っているだろうか,0,0,-,-,0,0,0
1220,パチスロ ダンジョンに出会いを求めるのは間違っているだろうか,0,0,-,-,0,0,0
1221,シークレットハイビスカス,2,0,1/187,1/187,374,216,0
1222,シークレットハイビスカス,4,3,1/365,1/209,"1,461",678,0
1223,シークレットハイビスカス,4,6,1/376,1/150,"1,504",376,0
1225,シークレットハイビスカス,6,1,1/129,1/111,774,86,0
1226,ニューパルサーSPⅡ,4,4,1/390,1/195,"1,559",105,0
1227,ニューパルサーSPⅡ,1,1,1/397,1/199,397,117,0
1228,ニューパルサーSPⅡ,0,0,-,-,88,88,0
1230,ニューパルサーSPⅡ,0,0,-,-,175,176,0
1231,ニューパルサーデラックス,0,1,-,1/321,321,258,0
1232,ニューパルサーデラックス,1,0,1/165,1/165,165,161,0
1233,ニューパルサーデラックス,1,0,1/182,1/182,182,159,0
1235,バイオハザード イントゥザパニック,8,2,1/158,1/126,"1,261",0,0
1236,バイオハザード イントゥザパニック,6,7,1/240,1/111,"1,438",92,0
1237,バイオハザード イントゥザパニック,1,0,1/322,1/322,322,125,0
1238,バイオハザード イントゥザパニック,2,3,1/298,1/119,596,83,0
1250,クレアの秘宝伝 女神の夢と魔法の遺跡,0,1,-,1/437,437,143,0
1251,クレアの秘宝伝 女神の夢と魔法の遺跡,5,9,1/377,1/135,"1,887",62,0
1252,クレアの秘宝伝 女神の夢と魔法の遺跡,0,0,-,-,144,144,0
1253,サンダーVリボルト,2,0,1/199,1/199,397,211,0
1255,サンダーVリボルト,0,0,-,-,17,17,0
1256,サンダーVリボルト,11,7,1/207,1/127,"2,282",312,0
1257,ハナビ,7,8,1/375,1/175,"2,622",106,0
1258,ハナビ,3,0,1/251,1/251,752,256,0
