台番,機種名,BB,RB,BB確率,合成確率,総スタート,最終スタート,最大放出
557,ファンキージャグラー,18,12,1/235,1/141,"4,223",58,"1,606"
558,ファンキージャグラー,7,3,1/302,1/211,"2,113",24,"1,640"
560,ファンキージャグラー,5,8,1/578,1/222,"2,888",277,"1,895"
561,ファンキージャグラー,3,1,1/489,1/367,"1,466",333,"1,329"
562,ファンキージャグラー,4,7,1/752,1/273,"3,008",440,"2,332"
563,アイムジャグラーEX AnniversaryEdition,4,2,1/362,1/241,"1,446",124,"1,000"
565,アイムジャグラーEX AnniversaryEdition,16,8,1/232,1/155,"3,709",62,"1,908"
566,ニューアイムジャグラーEX,35,14,1/198,1/141,"6,927",323,"4,932"
567,ニューアイムジャグラーEX,4,2,1/365,1/243,"1,458",512,815
568,ニューアイムジャグラーEX,0,3,-,1/357,"1,070",202,"1,207"
570,ゴーゴージャグラー2,5,8,1/403,1/155,"2,014",40,920
571,ゴーゴージャグラー2,29,22,1/231,1/131,"6,686",0,"1,833"
572,ゴーゴージャグラー2,4,3,1/343,1/196,"1,371",240,782
573,ゴーゴージャグラー2,14,10,1/224,1/131,"3,139",185,"1,674"
575,ゴーゴージャグラー2,17,15,1/276,1/147,"4,690",225,"1,646"
576,マイジャグラーⅣ,3,5,1/752,1/282,"2,256",859,"1,689"
577,マイジャグラーⅣ,4,3,1/503,1/288,"2,013",293,"1,529"
578,マイジャグラーⅣ,2,0,1/537,1/537,"1,074",447,944
580,マイジャグラーⅣ,21,14,1/284,1/170,"5,958",462,"1,795"
581,マイジャグラーⅣ,10,9,1/309,1/163,"3,089",154,"1,680"
582,マイジャグラーⅣ,9,5,1/325,1/209,"2,927",334,"2,245"
