馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
シークレットレシピ,4,7.5,1.8,2.9,2000,1,1,3,454,-4,56.0,3,109.4,12,11,55,4,6,0,36.2,458,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
トゥイードルダム,15,134.3,22.6,43.7,2000,1,2,21,466,-10,56.0,9,111.9,10,10,54,3,3,0,35.5,476,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ライフトップガン,5,9.4,2.0,3.3,2000,2,3,2,478,0,56.0,4,126.3,18,1,55,9,9,10,35.3,478,-12,0.7,3,115.6,9,7,6,5,34.3,490,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ステージジャンプ,3,17.5,3.4,6.2,2000,2,4,3,506,-2,56.0,6,126.1,12,2,55,3,3,8,35.7,508,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
イントレピッド,1,25.4,4.0,7.3,2000,3,5,1,436,-2,56.0,4,124.6,16,9,55,5,5,4,36.0,438,+4,0.2,4,124.7,10,7,7,7,36.3,434,-2,0.6,8,111.6,14,6,4,5,35.1,436,0,0.6,6,109.3,13,8,34.6,436,+10,0.6,2,109.1,5,33.8,426,-10,0.0
マイネルオードビー,9,34.5,4.8,9.0,2000,3,6,3,444,0,56.0,5,108.7,13,2,55,12,11,0,36.8,444,+6,0.4,6,123.3,14,12,13,13,35.1,438,-6,0.3,0,0,0,0,0,0,0,0,0,0,7,123.7,4,3,36.2,444,0,0.7,5,108.1,11,35.4,444,+4,0.4
マイネルフィエスタ,12,189.1,28.9,55.9,2000,4,7,3,482,-8,53.0,8,97.4,12,4,55,7,8,0,37.6,490,-2,2.7,9,96.2,13,3,11,12,36.4,492,+4,1.1,8,118.3,15,7,10,10,38.7,488,+2,2.2,8,112.5,4,2,36.6,486,+4,0.9,4,112.4,3,35.2,482,0,1.0
アウェーキンザール,16,394.0,83.4,161.8,2000,4,8,1,444,+4,56.0,16,112.3,18,12,55,5,6,0,36.3,440,0,1.8,15,71.6,18,15,15,14,35.4,440,0,1.3,12,76.8,12,2,9,9,39.9,440,0,3.2,15,70.6,4,11,35.8,440,+4,0.8,10,71.5,2,35.7,436,0,1.5
プロミネントロール,2,2.3,1.1,1.3,2000,5,9,2,522,+2,56.0,2,124.4,11,7,55,3,4,5,36.2,520,-4,0.2,2,123.2,14,5,5,5,35.7,524,0,0.2,6,125.0,13,10,2,3,35.7,524,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
リュベロン,14,92.2,13.3,25.5,2000,5,10,15,450,-4,56.0,7,111.8,10,5,54,7,6,0,33.5,454,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヴィンチトーレ,6,48.6,9.7,18.5,2000,6,11,3,494,-2,56.0,9,118.6,16,9,55,5,7,4,42.1,496,-14,1.6,4,100.8,16,7,4,6,38.4,510,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
クリノグランデ,11,54.1,9.7,18.4,2000,6,12,4,468,0,53.0,6,118.3,15,8,55,8,10,10,34.9,468,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
タニノタキシード,8,4.0,1.4,1.9,2000,7,13,9,470,0,56.0,6,123.2,11,6,55,5,6,7,37.1,470,+4,0.3,2,123.7,13,4,2,2,34.2,466,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
メイショウブシン,7,23.3,4.3,7.9,2000,7,14,2,456,+2,56.0,3,124.6,11,10,55,5,5,4,36.6,454,-6,0.4,6,111.5,14,5,4,5,35.0,460,+2,0.5,6,82.4,17,5,5,4,35.5,458,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アウトオブシャドウ,10,19.2,3.5,6.2,2000,8,15,2,454,0,56.0,4,124.2,10,10,55,7,7,6,35.4,454,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ピエナインパクト,13,29.4,6.5,12.3,2000,8,16,2,434,-8,56.0,5,124.4,10,8,55,2,2,2,36.2,442,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
