馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
リリコレッジェーロ,5,21.3,5.6,8.2,1400,1,1,0,520,0,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サクラサイクロン,7,90.2,22.7,34.5,1400,1,2,2,450,-4,56.0,10,119.5,12,3,56,12,12,12,39.1,454,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
コアレスキング,3,3.6,1.4,1.8,1400,2,3,4,516,0,56.0,2,73.0,16,10,56,8,8,0,37.6,516,0,0.3,3,72.5,16,13,3,5,38.3,516,+24,0.1,16,97.3,18,17,18,17,35.8,492,-2,1.7,6,83.8,5,8,34.9,494,0,0.3,0,0,0,0,0,0,0
ソデフリン,13,253.0,49.7,75.8,1400,2,4,1,432,-8,54.0,10,76.1,16,3,54,13,16,0,38.1,440,-4,2.5,5,92.2,12,8,11,11,40.1,444,+8,1.2,7,88.9,16,2,10,10,37.6,436,0,0.6,11,74.5,13,12,39.0,436,-4,2.1,14,110.8,16,35.9,440,+2,1.9
ヨイチピース,11,95.0,13.4,20.2,1400,3,5,3,450,0,56.0,12,76.4,16,9,56,14,16,0,38.3,450,-1,3.2,4,93.6,12,3,5,6,40.1,451,-3,1.1,6,88.3,16,7,6,6,38.9,454,+2,0.8,10,118.9,7,16,41.3,452,0,2.0,8,73.9,13,38.5,452,+4,0.5
ノーブルシャトル,6,73.8,12.0,18.1,1400,3,6,1,450,0,54.0,7,75.3,16,16,54,13,14,0,37.8,450,0,1.1,12,75.0,16,11,6,8,39.4,450,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ポタラカ,4,208.0,28.5,43.3,1400,4,7,7,436,-2,54.0,8,74.6,16,5,54,5,6,0,40.1,438,+4,1.1,8,74.9,15,12,9,8,39.1,434,0,1.6,15,78.9,15,13,2,2,43.1,434,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
スノーモンキー,1,6.0,1.6,2.1,1400,4,8,3,438,0,56.0,2,73.4,15,4,56,3,4,0,38.4,438,-6,0.1,11,82.1,16,12,13,12,38.6,444,-8,1.5,3,87.8,16,1,3,3,38.6,452,+6,0.3,8,74.5,12,4,39.4,446,-2,0.7,3,73.5,1,37.2,448,0,0.3
デルマスナカケババ,12,138.2,19.2,29.1,1400,5,9,1,470,+2,51.0,11,75.9,16,3,52,1,1,0,40.0,468,+4,1.7,8,75.1,16,7,4,5,38.8,464,-2,1.8,11,97.2,16,13,8,9,36.0,466,0,1.4,9,70.0,2,12,35.3,466,+4,0.4,5,70.4,4,34.9,462,0,0.5
インジニアス,16,295.0,47.7,72.8,1400,5,10,2,474,+2,54.0,11,119.6,15,4,56,13,14,14,39.6,472,-2,1.2,15,138.2,18,10,17,17,37.7,474,-2,2.3,12,140.2,16,10,12,12,43.1,476,+2,3.5,8,118.3,14,5,41.4,474,0,2.5,11,119.9,9,39.2,474,0,5.2
メイショウトラクマ,2,5.6,1.6,2.2,1400,6,11,5,512,0,56.0,2,73.7,16,15,56,5,4,0,38.4,512,-2,0.2,5,81.2,16,2,11,10,37.8,514,0,0.6,2,80.9,16,6,2,2,37.2,514,+2,0.2,4,74.1,7,5,38.6,512,0,1.1,3,72.7,11,37.7,512,-2,0.3
エイデンヒーロー,15,26.9,5.3,7.8,1400,6,12,0,476,+2,56.0,6,74.6,14,3,56,9,10,0,37.9,474,+4,1.2,8,96.2,16,3,2,2,36.1,470,-6,0.9,12,97.1,16,6,5,8,36.7,476,+4,2.1,4,98.5,3,16,36.2,472,+4,0.4,4,98.8,4,35.4,468,0,0.5
ヨベルシチー,14,344.4,48.4,73.8,1400,7,13,2,452,+8,56.0,10,75.2,16,11,54,10,9,0,40.1,444,-10,2.0,17,70.7,18,5,16,17,35.3,454,+18,1.6,14,84.1,16,14,13,12,39.5,436,+4,3.2,11,76.4,13,11,39.2,432,0,5.0,0,0,0,0,0,0,0
エグゼビア,9,4.2,1.7,2.3,1400,7,14,7,526,-2,56.0,14,97.5,16,11,56,2,2,3,38.3,528,0,1.9,3,97.5,16,7,1,1,34.7,528,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アンナチュラル,8,13.3,3.3,4.7,1400,8,15,13,456,+8,54.0,6,98.7,16,9,54,13,13,13,34.8,448,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ロードアストロ,10,5.7,1.9,2.7,1400,8,16,3,482,0,56.0,3,86.4,16,1,56,2,2,0,38.4,482,+2,0.2,5,86.9,16,2,4,4,38.9,480,0,0.7,7,117.7,16,12,4,5,40.0,480,0,1.6,6,117.6,2,3,40.1,480,0,2.9,0,0,0,0,0,0,0
