馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
ロゼラニ,1,3.9,1.4,1.8,1800,1,1,2,452,+2,54.0,3,114.3,16,12,54,11,10,10,37.5,450,-6,0.0,5,128.5,7,7,3,4,34.4,456,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
テイエムレオネッサ,10,40.4,8.4,13.3,1800,2,2,16,468,+14,54.0,5,117.8,15,6,54,4,3,4,39.1,454,+4,1.7,9,109.3,16,11,2,2,36.2,450,+10,0.9,5,109.0,15,9,7,7,36.1,440,-16,0.8,4,97.0,12,9,36.9,456,-2,0.9,7,98.4,6,36.3,458,+6,2.7
スマートロデム,5,12.4,3.5,5.3,1800,2,3,21,466,-16,54.0,6,114.1,7,4,54,1,1,1,35.5,482,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アムールポエジー,4,3.7,1.6,2.3,1800,3,4,5,500,+4,54.0,8,96.7,13,10,54,7,8,0,34.7,496,-8,0.8,5,96.2,18,5,14,14,34.8,504,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
セイウンヒマワリ,6,6.8,2.0,2.9,1800,3,5,5,400,+2,54.0,2,128.3,7,5,54,2,2,2,34.3,398,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ビントフォーティ,14,257.1,67.2,107.8,1800,4,6,3,454,-10,54.0,9,90.6,9,7,54,9,9,0,38.6,464,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サンモリッツ,13,215.3,33.9,54.4,1800,4,7,2,466,-4,54.0,8,115.7,16,11,54,11,12,13,38.7,470,0,1.4,9,88.2,15,11,11,10,38.5,470,0,1.8,14,102.4,18,3,16,15,38.1,470,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
デンコウアカツキ,3,20.5,4.2,6.5,1800,5,8,2,486,+6,51.0,14,111.9,18,13,54,2,2,0,36.1,480,-8,1.4,5,124.4,16,2,4,3,36.6,488,0,0.8,13,98.2,17,16,15,14,34.3,488,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ニシノヒメゴト,8,37.4,6.3,9.8,1800,5,9,2,444,+2,54.0,7,86.2,16,12,54,14,13,0,37.4,442,-4,1.5,4,88.4,12,9,11,10,37.0,446,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
キュートヴァリュー,12,258.0,50.3,80.7,1800,6,10,2,484,-6,51.0,14,87.0,16,1,54,15,15,0,37.8,490,+4,2.3,0,0,0,0,0,0,0,0,0,0,15,90.5,15,4,13,15,41.0,486,-4,3.9,9,75.8,7,15,37.9,490,-8,1.7,10,72.5,8,35.5,498,0,1.3
スプリングデジレ,11,14.2,3.2,4.8,1800,6,11,2,452,-2,54.0,4,114.5,16,6,54,1,2,1,38.7,454,-4,0.2,8,86.7,13,8,10,10,38.6,458,0,1.7,12,97.2,13,6,5,5,35.4,458,-2,1.3,4,97.3,6,6,34.7,460,0,0.4,0,0,0,0,0,0,0
ウイントレジャー,15,54.9,10.9,17.3,1800,7,12,2,484,-2,54.0,9,120.6,16,10,54,12,12,10,40.5,486,+6,2.0,9,125.2,11,7,5,7,35.0,480,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
マコトエクサルシス,7,20.6,3.6,5.5,1800,7,13,2,454,-6,54.0,5,114.9,16,2,54,5,3,4,38.8,460,+4,0.6,6,110.1,12,1,9,7,36.7,456,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
エーシンウェンディ,2,21.0,4.6,7.2,1800,8,14,2,482,0,54.0,7,115.1,16,16,54,5,7,7,38.6,482,-2,0.8,2,87.2,14,2,10,10,38.5,484,+6,0.9,4,87.2,11,7,8,7,38.9,478,-2,0.6,6,82.7,10,8,35.0,480,+2,1.0,6,83.3,6,35.1,478,0,0.5
サンマルジュエリー,9,4.8,1.4,1.8,1800,8,15,2,478,-2,51.0,2,114.3,16,10,51,5,5,4,38.2,480,-6,0.0,7,110.2,12,7,3,2,37.3,486,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
