馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
クールフォーマ,4,4.8,1.6,2.2,1000,1,1,17,522,0,57.0,2,78.4,16,6,57,3,4,0,36.5,522,0,0.0,2,71.7,15,10,2,2,37.5,522,-6,0.1,4,71.4,16,11,2,3,36.3,528,+2,0.1,2,72.0,8,2,36.9,526,-6,0.0,8,116.0,11,41.8,532,+6,1.4
チェリーソウマ,11,11.9,3.1,4.5,1000,2,2,2,488,+4,52.0,5,59.6,12,5,52,1,1,0,35.9,484,+4,0.4,18,84.6,18,17,5,7,38.0,480,-6,3.6,12,83.6,13,12,4,3,35.7,486,-2,1.6,16,96.9,14,2,38.8,488,+8,2.3,16,72.3,15,37.7,480,0,3.1
フィールドチャペル,1,4.5,1.6,2.2,1000,3,3,19,500,+16,57.0,7,72.7,16,6,57,5,5,0,36.5,484,-2,1.0,2,69.0,16,9,4,4,36.8,486,+2,0.0,2,59.0,16,5,3,3,35.6,484,-6,0.1,2,59.3,14,1,36.4,490,-2,0.4,2,59.6,8,36.6,492,-2,0.1
スコッツブラフ,8,12.1,2.8,4.1,1000,4,4,1,476,+2,55.0,4,60.1,12,4,55,3,3,0,36.6,474,-2,0.3,13,112.3,13,10,3,4,44.6,476,-2,6.5,8,85.8,15,10,3,3,38.2,478,+2,1.0,7,72.6,1,3,37.6,476,0,0.8,1,86.6,8,37.7,476,0,-0.2
キューバンエイト,5,5.2,1.5,2.0,1000,5,5,0,484,-2,57.0,3,59.5,12,6,57,6,6,0,35.4,486,+12,0.2,3,59.3,12,7,6,5,35.3,474,-10,0.1,10,55.4,18,5,9,0,33.3,484,+10,0.7,5,56.0,7,13,33.3,474,-6,0.3,7,70.3,11,35.4,480,0,0.4
リバーサルブロー,7,25.0,4.0,6.0,1000,5,6,0,472,0,57.0,5,60.2,12,11,57,3,3,0,36.8,472,-6,0.9,1,72.6,15,15,2,3,37.9,478,0,0.0,11,73.5,15,12,4,3,37.8,478,+2,1.9,7,59.6,8,7,35.8,476,0,0.7,3,59.6,4,36.0,476,+12,0.7
カリビアンペガサス,10,50.9,7.6,11.4,1000,6,7,25,484,+28,53.0,0,0,0,0,0,0,0,0,0,0,0,0,16,75.5,16,8,6,11,39.8,456,-4,2.8,11,71.9,12,1,8,11,36.7,460,-12,1.9,4,70.2,2,1,36.1,472,-2,0.2,9,84.2,12,36.5,474,+10,1.0
ダンジグマスター,6,117.6,18.4,28.0,1000,6,8,35,466,-6,57.0,11,73.3,16,13,57,10,9,0,38.3,472,+6,1.3,10,59.8,16,2,13,13,35.4,466,-4,1.3,8,73.6,14,8,4,6,38.4,470,+14,1.7,4,102.0,9,7,39.4,456,-4,1.2,6,73.1,8,37.1,460,-18,0.6
アグネスポライト,9,38.4,6.3,9.5,1000,7,9,1,494,+6,57.0,5,60.4,12,8,54,8,8,0,36.6,488,-2,0.6,5,59.8,12,7,8,9,35.9,490,-2,0.8,9,60.7,11,4,11,11,36.4,492,-10,1.0,10,74.4,12,4,38.7,502,0,0.8,7,91.8,11,0.0,502,+2,1.5
トーセンモンローズ,12,133.5,20.2,30.6,1000,7,10,31,540,-14,57.0,0,0,0,0,0,0,0,0,0,0,0,0,4,102.4,12,1,2,1,40.7,554,0,0.3,14,73.8,16,1,5,5,39.2,554,+4,1.8,7,117.7,3,4,43.1,550,+2,2.4,9,69.9,3,37.2,548,+14,1.4
エイコオミリオン,2,3.1,1.4,1.7,1000,8,11,3,480,+8,57.0,4,71.7,15,7,57,3,3,0,36.8,472,-4,0.2,5,71.4,14,1,1,1,37.7,476,+2,0.4,2,71.7,15,5,3,3,37.5,474,-2,0.1,3,69.0,1,1,37.7,476,+16,0.2,14,73.8,14,38.8,460,-16,1.6
ファーストメジャー,3,20.0,3.9,5.8,1000,8,12,1,470,+2,56.0,3,60.1,12,5,56,2,2,0,36.8,468,+6,0.3,8,72.8,15,4,10,10,37.6,462,+2,1.3,13,55.7,18,4,14,0,33.1,460,-14,1.0,7,79.5,13,15,36.2,474,+2,1.1,6,73.9,7,38.4,472,-2,2.1
