馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
シゲルタダカツ,1,5.7,1.6,2.1,1400,1,1,1,496,-2,56.0,3,85.5,15,2,56,1,1,0,38.4,498,+2,0.5,1,85.9,16,10,1,1,37.7,496,-2,0.0,2,85.6,16,11,3,3,38.0,498,-2,0.0,2,86.6,9,1,39.0,500,+6,0.0,2,87.3,1,39.0,494,+4,0.2
イサミダンス,7,206.1,29.3,44.1,1400,1,2,10,444,+2,54.0,9,87.0,16,10,54,6,7,0,39.1,442,-10,1.7,12,87.6,16,12,2,3,38.4,452,0,2.1,0,0,0,0,0,0,0,0,0,0,1,59.9,4,2,36.6,444,+4,-0.6,8,70.3,5,35.7,440,0,1.2
ペガサスヒーロー,2,4.1,1.5,1.9,1400,2,3,14,454,+14,56.0,3,107.1,16,1,55,10,10,6,37.9,440,-4,0.2,1,85.7,16,16,2,2,38.0,444,0,-0.6,4,94.7,11,8,6,5,34.9,444,+6,1.0,6,95.9,8,4,35.1,438,0,0.7,0,0,0,0,0,0,0
シャイニーブレーヴ,6,49.2,9.1,13.5,1400,2,4,3,442,0,56.0,1,87.0,16,16,56,1,1,0,38.2,442,-14,-0.5,7,70.7,18,13,3,3,35.9,456,+4,1.2,5,70.2,18,13,2,2,36.4,452,-2,0.3,3,83.4,14,1,36.2,454,+6,0.7,9,97.4,18,36.8,448,0,2.1
ピサライコネン,5,3.8,1.6,2.1,1400,3,5,4,468,-4,56.0,1,72.9,16,13,56,2,3,0,37.4,472,+10,-0.3,6,86.8,15,5,2,2,39.2,462,-4,0.8,2,86.6,16,5,4,4,37.7,466,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ブルーライトニング,9,17.3,3.6,5.2,1400,3,6,2,506,0,56.0,12,117.9,14,13,56,4,5,6,41.1,506,-10,3.1,14,116.6,15,9,5,5,41.2,516,+26,4.0,1,114.3,16,8,5,5,39.2,490,0,-0.1,3,114.3,1,2,38.2,490,0,0.1,4,85.9,3,36.8,490,0,0.8
フェブムービング,16,125.0,29.9,44.9,1400,4,7,33,472,+28,56.0,1,59.3,14,5,54,1,1,0,36.6,444,+2,-0.4,2,58.9,9,3,1,1,36.0,442,0,0.1,5,68.7,9,2,1,1,35.6,442,-2,0.7,4,84.7,7,1,38.4,444,0,1.3,4,71.0,5,35.2,444,0,1.3
サンヴァンサン,11,14.6,4.4,6.4,1400,4,8,15,420,0,52.0,5,74.4,6,4,53,2,2,0,39.5,420,+6,2.2,1,85.0,15,9,3,2,37.9,414,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホープホーマン,15,369.8,40.9,61.5,1400,5,9,7,506,-8,56.0,11,74.4,16,13,56,8,7,0,38.6,514,+22,1.6,1,73.9,11,2,1,1,38.2,492,-6,-0.1,5,71.6,10,1,6,4,36.8,498,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
プリサイストップ,13,4.7,2.0,2.8,1400,5,10,2,482,+2,53.0,1,72.7,12,1,53,1,1,0,38.3,480,-4,-0.6,2,73.1,16,1,1,1,37.5,484,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
クレムリンシチー,10,255.5,20.2,30.3,1400,6,11,3,496,+6,56.0,15,110.3,16,1,56,5,4,8,41.1,490,-4,2.7,1,89.5,10,9,2,2,0.0,494,-2,-0.8,7,111.1,16,11,16,16,37.8,496,+2,2.3,10,86.9,13,11,37.6,494,0,1.5,7,119.5,11,41.7,494,+4,3.2
ショートエアリー,14,813.8,111.9,168.4,1400,6,12,2,410,+2,54.0,16,84.2,16,2,54,16,16,0,36.8,408,-2,2.6,3,119.6,9,3,7,7,0.0,410,+4,1.9,12,73.6,15,14,15,15,36.9,406,+1,1.8,5,106.3,7,9,0.0,405,-6,1.6,4,90.3,6,0.0,411,0,1.0
ケージーアメリカン,8,27.8,4.8,7.0,1400,7,13,9,436,-12,56.0,6,99.8,12,12,56,6,6,0,38.6,448,-2,1.5,6,72.8,16,13,11,11,37.3,450,+8,0.6,1,87.1,13,7,7,6,37.8,442,-2,-0.2,4,74.0,16,9,39.0,444,-10,0.4,9,75.8,1,37.4,454,0,2.3
シゲルケンシン,4,33.9,6.0,8.8,1400,7,14,15,468,-6,54.0,1,87.3,14,9,55,10,7,0,38.0,474,-2,0.0,3,86.2,15,10,12,12,37.6,476,0,0.2,7,74.2,15,13,13,11,37.6,476,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ダンツブラボー,3,9.1,2.1,2.9,1400,8,15,1,478,-4,56.0,4,85.6,15,5,54,3,4,0,38.0,482,+2,0.6,1,86.1,11,5,4,2,38.1,480,+2,0.0,8,88.4,16,8,1,1,40.0,478,+8,0.8,10,112.0,1,8,38.6,470,0,1.5,7,112.8,4,37.1,470,0,1.0
ウインジェラルド,12,47.8,9.0,13.4,1400,8,16,9,442,-14,56.0,1,74.4,11,5,56,3,3,0,37.3,456,0,-0.3,4,74.9,12,4,6,4,38.1,456,+4,0.5,2,74.6,16,4,6,5,37.5,452,+4,0.3,6,82.4,2,13,34.6,448,+2,0.9,3,83.9,12,35.3,446,0,0.3
