馬名,着順,単オッズ,複オッズ小,複オッズ大,当日距離,枠番,馬番,中週,体重,体重増減,斤量,着順,タイム,頭数,馬番,斤量,通過順1,通過順2,通過順3,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,頭数,馬番,通過順1,通過順2,3ハロン,体重,体重増減,着差,着順,タイム,馬番,通過順1,3ハロン,体重,体重増減,着差,着順,タイム,馬番,3ハロン,体重,体重増減,着差
ショウナンカラット,6,2.3,1.1,1.4,1000,1,1,7,454,-6,54.0,6,86.4,16,15,54,2,1,0,39.8,460,+16,1.5,3,96.7,18,11,1,1,35.0,444,-8,0.1,2,87.4,16,7,3,4,40.0,452,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アンピトリーテ,5,16.9,3.0,5.3,1000,2,2,4,438,-2,54.0,8,60.8,14,8,51,2,3,0,38.1,440,-2,1.6,9,74.9,16,9,7,7,38.1,442,-2,1.8,14,76.7,16,9,9,7,40.3,444,-8,3.3,13,72.6,10,11,35.8,452,0,2.3,0,0,0,0,0,0,0
レディナデシコ,2,6.4,1.7,2.9,1000,3,3,0,466,0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アグネスルーク,11,109.4,14.6,27.8,1000,3,4,12,434,-6,55.0,0,0,0,0,0,0,0,0,0,0,0,0,14,76.3,15,10,10,12,40.1,440,-6,4.5,16,72.9,16,6,15,13,37.1,446,-2,1.9,10,62.2,2,8,37.8,448,-8,1.9,5,61.8,6,38.2,456,0,1.2
シゲルキヨマサ,9,19.1,2.9,5.2,1000,4,5,4,476,-2,53.0,14,110.2,15,6,56,10,10,14,39.6,478,+4,3.9,12,74.1,16,8,9,10,38.5,474,+2,2.2,6,74.1,16,2,5,4,39.2,472,-8,0.8,2,72.8,7,2,38.1,480,0,0.0,0,0,0,0,0,0,0
アキノローレル,8,3.3,1.3,1.7,1000,4,6,1,462,+6,54.0,2,59.7,14,10,54,4,5,0,36.4,456,-2,0.5,7,73.8,16,1,2,5,38.1,458,+7,1.1,6,90.5,9,7,3,3,41.2,451,+1,1.2,4,91.1,6,2,40.9,450,+1,1.0,3,90.8,6,0.0,449,-3,1.0
グランデボス,4,19.3,3.2,5.7,1000,5,7,3,488,+2,56.0,10,117.6,15,10,56,2,3,5,40.6,486,-2,3.1,8,115.3,14,4,4,4,39.4,488,+8,2.3,11,95.8,11,9,9,8,36.9,480,-8,1.1,10,96.7,7,13,35.6,488,+10,1.4,4,97.4,11,34.2,478,0,1.1
マスタークインビー,13,53.2,7.4,13.8,1000,5,8,0,500,0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
キョウワウィッシュ,7,35.5,4.0,7.3,1000,6,9,4,478,0,54.0,14,69.2,18,15,54,15,15,0,34.6,478,-2,1.0,11,115.9,16,15,3,2,41.1,480,-2,2.0,6,115.5,15,3,6,6,37.8,482,-4,0.4,8,74.1,3,13,37.6,486,0,1.4,0,0,0,0,0,0,0
カシノカルミア,3,42.9,6.6,12.3,1000,6,10,4,446,+8,54.0,15,96.6,18,3,54,8,8,0,35.3,438,-4,1.8,7,70.7,16,1,8,8,38.3,442,-8,1.3,5,81.2,16,13,9,7,37.7,450,0,1.4,6,81.7,3,8,37.7,450,+4,1.9,7,73.5,14,37.9,446,-2,2.1
ホッコーコウショウ,14,235.3,34.3,65.6,1000,7,11,0,460,0,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
シンボリルマン,1,11.1,2.6,4.5,1000,7,12,0,482,0,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ビバクラシック,12,49.9,5.4,9.9,1000,8,13,26,554,+24,56.0,7,74.6,16,6,56,11,12,0,37.8,530,-2,1.1,14,139.4,15,13,6,6,36.7,532,0,3.5,8,112.2,9,6,3,5,35.8,532,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホンマキセキ,10,87.3,9.7,18.3,1000,8,14,4,474,+18,54.0,13,109.4,14,7,54,5,5,6,41.8,456,-10,3.8,0,0,0,0,0,0,0,0,0,0,12,118.4,16,9,15,16,40.5,466,-12,4.3,6,117.7,12,9,40.0,478,+6,0.7,8,76.2,10,39.6,472,+4,1.8
